name,url
آمنة,https://senseiprod.github.io/audio-storage/processed_audios/آمنة_original.wav
أجوان,https://senseiprod.github.io/audio-storage/processed_audios/أجوان_original.wav
أحلام,https://senseiprod.github.io/audio-storage/processed_audios/أحلام_original.wav
أحمد,https://senseiprod.github.io/audio-storage/processed_audios/أحمد_original.wav
أدهم,https://senseiprod.github.io/audio-storage/processed_audios/أدهم_original.wav
أسر,https://senseiprod.github.io/audio-storage/processed_audios/أسر_original.wav
أسماء,https://senseiprod.github.io/audio-storage/processed_audios/أسماء.wav
أسمى,https://senseiprod.github.io/audio-storage/processed_audios/أسمى_original.wav
أكرم,https://senseiprod.github.io/audio-storage/processed_audios/أكرم.wav
ألفة,https://senseiprod.github.io/audio-storage/processed_audios/ألفة_original.wav
أماني,https://senseiprod.github.io/audio-storage/processed_audios/أماني_original.wav
أمير,https://senseiprod.github.io/audio-storage/processed_audios/أمير_original.wav
أمين,https://senseiprod.github.io/audio-storage/processed_audios/أمين.wav
أنور,https://senseiprod.github.io/audio-storage/processed_audios/أنور_original.wav
أيمن,https://senseiprod.github.io/audio-storage/processed_audios/أيمن_original.wav
إسلام,https://senseiprod.github.io/audio-storage/processed_audios/إسلام_original.wav
إلهام,https://senseiprod.github.io/audio-storage/processed_audios/إلهام_original.wav
إيمار,https://senseiprod.github.io/audio-storage/processed_audios/إيمار_original.wav
ابتسام,https://senseiprod.github.io/audio-storage/processed_audios/ابتسام.wav
باسم,https://senseiprod.github.io/audio-storage/processed_audios/باسم.wav
بتول,https://senseiprod.github.io/audio-storage/processed_audios/بتول_original.wav
بدر,https://senseiprod.github.io/audio-storage/processed_audios/بدر.wav
بديعة,https://senseiprod.github.io/audio-storage/processed_audios/بديعة_original.wav
بهاء,https://senseiprod.github.io/audio-storage/processed_audios/بهاء.wav
بهجت,https://senseiprod.github.io/audio-storage/processed_audios/بهجت.wav
بيسان,https://senseiprod.github.io/audio-storage/processed_audios/بيسان_original.wav
تامر,https://senseiprod.github.io/audio-storage/processed_audios/تامر_original.wav
ثامر,https://senseiprod.github.io/audio-storage/processed_audios/ثامر_original.wav
جابر,https://senseiprod.github.io/audio-storage/processed_audios/جابر.wav
جاسم,https://senseiprod.github.io/audio-storage/processed_audios/جاسم_original.wav
جميلة,https://senseiprod.github.io/audio-storage/processed_audios/جميلة_original.wav
جواد,https://senseiprod.github.io/audio-storage/processed_audios/جواد_original.wav
حسام,https://senseiprod.github.io/audio-storage/processed_audios/حسام_original.wav
حسناء,https://senseiprod.github.io/audio-storage/processed_audios/حسناء.wav
حمزة,https://senseiprod.github.io/audio-storage/processed_audios/حمزة_original.wav
حمود,https://senseiprod.github.io/audio-storage/processed_audios/حمود_original.wav
خديجة,https://senseiprod.github.io/audio-storage/processed_audios/خديجة_original.wav
خولة,https://senseiprod.github.io/audio-storage/processed_audios/خولة.wav
رافي,https://senseiprod.github.io/audio-storage/processed_audios/رافي_original.wav
رحمة,https://senseiprod.github.io/audio-storage/processed_audios/رحمة.wav
رضوان,https://senseiprod.github.io/audio-storage/processed_audios/رضوان_original.wav
رهف,https://senseiprod.github.io/audio-storage/processed_audios/رهف_original.wav
زاهر,https://senseiprod.github.io/audio-storage/processed_audios/زاهر_original.wav
زكرياء,https://senseiprod.github.io/audio-storage/processed_audios/زكرياء_original.wav
زكية,https://senseiprod.github.io/audio-storage/processed_audios/زكية.wav
زياد,https://senseiprod.github.io/audio-storage/processed_audios/زياد_original.wav
زيد,https://senseiprod.github.io/audio-storage/processed_audios/زيد_original.wav
ساجي,https://senseiprod.github.io/audio-storage/processed_audios/ساجي_original.wav
سامر,https://senseiprod.github.io/audio-storage/processed_audios/سامر_original.wav
سامي,https://senseiprod.github.io/audio-storage/processed_audios/سامي_original.wav
سمية,https://senseiprod.github.io/audio-storage/processed_audios/سمية_original.wav
سنان,https://senseiprod.github.io/audio-storage/processed_audios/سنان_original.wav
عارف,https://senseiprod.github.io/audio-storage/processed_audios/عارف.wav
عازم,https://senseiprod.github.io/audio-storage/processed_audios/عازم.wav
عائشة,https://senseiprod.github.io/audio-storage/processed_audios/عائشة.wav
علي,https://senseiprod.github.io/audio-storage/processed_audios/علي.wav
عمار,https://senseiprod.github.io/audio-storage/processed_audios/عمار_original.wav
عمر,https://senseiprod.github.io/audio-storage/processed_audios/عمر_original.wav
عنان,https://senseiprod.github.io/audio-storage/processed_audios/عنان_original.wav
غانم,https://senseiprod.github.io/audio-storage/processed_audios/غانم_original.wav
فؤاد,https://senseiprod.github.io/audio-storage/processed_audios/فؤاد_original.wav
فارس,https://senseiprod.github.io/audio-storage/processed_audios/فارس_original.wav
فرح,https://senseiprod.github.io/audio-storage/processed_audios/فرح.wav
فهد,https://senseiprod.github.io/audio-storage/processed_audios/فهد.wav
قيس,https://senseiprod.github.io/audio-storage/processed_audios/قيس_original.wav
كاظم,https://senseiprod.github.io/audio-storage/processed_audios/كاظم_original.wav
كرم,https://senseiprod.github.io/audio-storage/processed_audios/كرم.wav
كريم,https://senseiprod.github.io/audio-storage/processed_audios/كريم_original.wav
كمال,https://senseiprod.github.io/audio-storage/processed_audios/كمال_original.wav
لطفي,https://senseiprod.github.io/audio-storage/processed_audios/لطفي_original.wav
لميس,https://senseiprod.github.io/audio-storage/processed_audios/لميس_original.wav
لُجين,https://senseiprod.github.io/audio-storage/processed_audios/لُجين_original.wav
ماجد,https://senseiprod.github.io/audio-storage/processed_audios/ماجد.wav
ماجد,https://senseiprod.github.io/audio-storage/processed_audios/ماجد_original.wav
مثال صوت مستنسخ من لهجاتي,https://senseiprod.github.io/audio-storage/processed_audios/مثال صوت مستنسخ من لهجاتي_original.wav
محمد,https://senseiprod.github.io/audio-storage/processed_audios/محمد_original.wav
مصطفى,https://senseiprod.github.io/audio-storage/processed_audios/مصطفى_original.wav
معتز,https://senseiprod.github.io/audio-storage/processed_audios/معتز_original.wav
منصور,https://senseiprod.github.io/audio-storage/processed_audios/منصور_original.wav
منيرة,https://senseiprod.github.io/audio-storage/processed_audios/منيرة.wav
مهند,https://senseiprod.github.io/audio-storage/processed_audios/مهند.wav
موسى,https://senseiprod.github.io/audio-storage/processed_audios/موسى.wav
ناجا,https://senseiprod.github.io/audio-storage/processed_audios/ناجا.wav
ناديا,https://senseiprod.github.io/audio-storage/processed_audios/ناديا_original.wav
