name,phrase_found,output_file
بدر,True,processed_audios\بدر_precisely_edited.wav
جابر,True,processed_audios\جابر_precisely_edited.wav
عازم,True,processed_audios\عازم_precisely_edited.wav
فرح,True,processed_audios\فرح_precisely_edited.wav
هنادي,True,processed_audios\هنادي_precisely_edited.wav
خولة,True,processed_audios\خولة_precisely_edited.wav
منيرة,True,processed_audios\منيرة_precisely_edited.wav
بهجت,True,processed_audios\بهجت_precisely_edited.wav
موسى,True,processed_audios\موسى_precisely_edited.wav
نصير,True,processed_audios\نصير_precisely_edited.wav
مثال صوت مستنسخ من لهجاتي,False,processed_audios\مثال صوت مستنسخ من لهجاتي_original.wav
رحمة,True,processed_audios\رحمة_precisely_edited.wav
نورة,True,processed_audios\نورة_precisely_edited.wav
ابتسام,True,processed_audios\ابتسام_precisely_edited.wav
ناجا,True,processed_audios\ناجا_precisely_edited.wav
سامر,False,processed_audios\سامر_original.wav
كريم,False,processed_audios\كريم_original.wav
وسيم,False,processed_audios\وسيم_original.wav
أمير,False,processed_audios\أمير_original.wav
جاسم,False,processed_audios\جاسم_original.wav
حمزة,False,processed_audios\حمزة_original.wav
عمر,False,processed_audios\عمر_original.wav
جميلة,False,processed_audios\جميلة_original.wav
ناديا,False,processed_audios\ناديا_original.wav
رهف,False,processed_audios\رهف_original.wav
ثامر,False,processed_audios\ثامر_original.wav
أحلام,False,processed_audios\أحلام_original.wav
غانم,False,processed_audios\غانم_original.wav
أدهم,False,processed_audios\أدهم_original.wav
أسر,False,processed_audios\أسر_original.wav
تامر,False,processed_audios\تامر_original.wav
رافي,False,processed_audios\رافي_original.wav
ساجي,False,processed_audios\ساجي_original.wav
كاظم,False,processed_audios\كاظم_original.wav
فارس,False,processed_audios\فارس_original.wav
عنان,False,processed_audios\عنان_original.wav
حسام,False,processed_audios\حسام_original.wav
سامي,False,processed_audios\سامي_original.wav
زياد,False,processed_audios\زياد_original.wav
خديجة,False,processed_audios\خديجة_original.wav
ماجد,False,processed_audios\ماجد_original.wav
أيمن,False,processed_audios\أيمن_original.wav
يزد,False,processed_audios\يزد_original.wav
ناصر,False,processed_audios\ناصر_original.wav
زكرياء,False,processed_audios\زكرياء_original.wav
سنان,False,processed_audios\سنان_original.wav
حمود,False,processed_audios\حمود_original.wav
سمية,False,processed_audios\سمية_original.wav
رضوان,False,processed_audios\رضوان_original.wav
زيد,False,processed_audios\زيد_original.wav
حسناء,True,processed_audios\حسناء_precisely_edited.wav
أنور,False,processed_audios\أنور_original.wav
وليد,True,processed_audios\وليد_precisely_edited.wav
يحيى,False,processed_audios\يحيى_original.wav
عائشة,True,processed_audios\عائشة_precisely_edited.wav
قيس,False,processed_audios\قيس_original.wav
مهند,True,processed_audios\مهند_precisely_edited.wav
نواف,False,processed_audios\نواف_original.wav
يمنى,True,processed_audios\يمنى_precisely_edited.wav
جواد,False,processed_audios\جواد_original.wav
إسلام,False,processed_audios\إسلام_original.wav
عارف,True,processed_audios\عارف_precisely_edited.wav
أماني,False,processed_audios\أماني_original.wav
أكرم,True,processed_audios\أكرم_precisely_edited.wav
آمنة,False,processed_audios\آمنة_original.wav
أمين,True,processed_audios\أمين_precisely_edited.wav
كمال,False,processed_audios\كمال_original.wav
فهد,True,processed_audios\فهد_precisely_edited.wav
بديعة,False,processed_audios\بديعة_original.wav
بهاء,True,processed_audios\بهاء_precisely_edited.wav
لطفي,False,processed_audios\لطفي_original.wav
بيسان,False,processed_audios\بيسان_original.wav
بتول,False,processed_audios\بتول_original.wav
ماجد,True,processed_audios\ماجد_precisely_edited.wav
فؤاد,False,processed_audios\فؤاد_original.wav
علي,True,processed_audios\علي_precisely_edited.wav
ألفة,False,processed_audios\ألفة_original.wav
أسمى,False,processed_audios\أسمى_original.wav
مصطفى,False,processed_audios\مصطفى_original.wav
باسم,True,processed_audios\باسم_precisely_edited.wav
منصور,False,processed_audios\منصور_original.wav
كرم,True,processed_audios\كرم_precisely_edited.wav
محمد,False,processed_audios\محمد_original.wav
زاهر,False,processed_audios\زاهر_original.wav
أسماء,True,processed_audios\أسماء_precisely_edited.wav
أجوان,False,processed_audios\أجوان_original.wav
زكية,True,processed_audios\زكية_precisely_edited.wav
أحمد,False,processed_audios\أحمد_original.wav
معتز,False,processed_audios\معتز_original.wav
عمار,False,processed_audios\عمار_original.wav
هاجر,False,processed_audios\هاجر_original.wav
هند,False,processed_audios\هند_original.wav
إيمار,False,processed_audios\إيمار_original.wav
إلهام,False,processed_audios\إلهام_original.wav
يسرى,False,processed_audios\يسرى_original.wav
لُجين,False,processed_audios\لُجين_original.wav
لميس,False,processed_audios\لميس_original.wav
همس,False,processed_audios\همس_original.wav
