name,url
بدر,https://senseiprod.github.io/audio-storage/processed_audios/بدر_precisely_edited.wav
جابر,https://senseiprod.github.io/audio-storage/processed_audios/جابر_precisely_edited.wav
عازم,https://senseiprod.github.io/audio-storage/processed_audios/عازم_precisely_edited.wav
فرح,https://senseiprod.github.io/audio-storage/processed_audios/فرح_precisely_edited.wav
هنادي,https://senseiprod.github.io/audio-storage/processed_audios/هنادي_precisely_edited.wav
خولة,https://senseiprod.github.io/audio-storage/processed_audios/خولة_precisely_edited.wav
منيرة,https://senseiprod.github.io/audio-storage/processed_audios/منيرة_precisely_edited.wav
بهجت,https://senseiprod.github.io/audio-storage/processed_audios/بهجت_precisely_edited.wav
موسى,https://senseiprod.github.io/audio-storage/processed_audios/موسى_precisely_edited.wav
نصير,https://senseiprod.github.io/audio-storage/processed_audios/نصير_precisely_edited.wav
مثال صوت مستنسخ من لهجاتي,https://senseiprod.github.io/audio-storage/processed_audios/مثال صوت مستنسخ من لهجاتي_original.wav
رحمة,https://senseiprod.github.io/audio-storage/processed_audios/رحمة_precisely_edited.wav
نورة,https://senseiprod.github.io/audio-storage/processed_audios/نورة_precisely_edited.wav
ابتسام,https://senseiprod.github.io/audio-storage/processed_audios/ابتسام_precisely_edited.wav
ناجا,https://senseiprod.github.io/audio-storage/processed_audios/ناجا_precisely_edited.wav
سامر,https://senseiprod.github.io/audio-storage/processed_audios/سامر_original.wav
كريم,https://senseiprod.github.io/audio-storage/processed_audios/كريم_original.wav
وسيم,https://senseiprod.github.io/audio-storage/processed_audios/وسيم_original.wav
أمير,https://senseiprod.github.io/audio-storage/processed_audios/أمير_original.wav
جاسم,https://senseiprod.github.io/audio-storage/processed_audios/جاسم_original.wav
حمزة,https://senseiprod.github.io/audio-storage/processed_audios/حمزة_original.wav
عمر,https://senseiprod.github.io/audio-storage/processed_audios/عمر_original.wav
جميلة,https://senseiprod.github.io/audio-storage/processed_audios/جميلة_original.wav
ناديا,https://senseiprod.github.io/audio-storage/processed_audios/ناديا_original.wav
رهف,https://senseiprod.github.io/audio-storage/processed_audios/رهف_original.wav
ثامر,https://senseiprod.github.io/audio-storage/processed_audios/ثامر_original.wav
أحلام,https://senseiprod.github.io/audio-storage/processed_audios/أحلام_original.wav
غانم,https://senseiprod.github.io/audio-storage/processed_audios/غانم_original.wav
أدهم,https://senseiprod.github.io/audio-storage/processed_audios/أدهم_original.wav
أسر,https://senseiprod.github.io/audio-storage/processed_audios/أسر_original.wav
تامر,https://senseiprod.github.io/audio-storage/processed_audios/تامر_original.wav
رافي,https://senseiprod.github.io/audio-storage/processed_audios/رافي_original.wav
ساجي,https://senseiprod.github.io/audio-storage/processed_audios/ساجي_original.wav
كاظم,https://senseiprod.github.io/audio-storage/processed_audios/كاظم_original.wav
فارس,https://senseiprod.github.io/audio-storage/processed_audios/فارس_original.wav
عنان,https://senseiprod.github.io/audio-storage/processed_audios/عنان_original.wav
حسام,https://senseiprod.github.io/audio-storage/processed_audios/حسام_original.wav
سامي,https://senseiprod.github.io/audio-storage/processed_audios/سامي_original.wav
زياد,https://senseiprod.github.io/audio-storage/processed_audios/زياد_original.wav
خديجة,https://senseiprod.github.io/audio-storage/processed_audios/خديجة_original.wav
ماجد,https://senseiprod.github.io/audio-storage/processed_audios/ماجد_original.wav
أيمن,https://senseiprod.github.io/audio-storage/processed_audios/أيمن_original.wav
يزد,https://senseiprod.github.io/audio-storage/processed_audios/يزد_original.wav
ناصر,https://senseiprod.github.io/audio-storage/processed_audios/ناصر_original.wav
زكرياء,https://senseiprod.github.io/audio-storage/processed_audios/زكرياء_original.wav
سنان,https://senseiprod.github.io/audio-storage/processed_audios/سنان_original.wav
حمود,https://senseiprod.github.io/audio-storage/processed_audios/حمود_original.wav
سمية,https://senseiprod.github.io/audio-storage/processed_audios/سمية_original.wav
رضوان,https://senseiprod.github.io/audio-storage/processed_audios/رضوان_original.wav
زيد,https://senseiprod.github.io/audio-storage/processed_audios/زيد_original.wav
حسناء,https://senseiprod.github.io/audio-storage/processed_audios/حسناء_precisely_edited.wav
أنور,https://senseiprod.github.io/audio-storage/processed_audios/أنور_original.wav
وليد,https://senseiprod.github.io/audio-storage/processed_audios/وليد_precisely_edited.wav
يحيى,https://senseiprod.github.io/audio-storage/processed_audios/يحيى_original.wav
عائشة,https://senseiprod.github.io/audio-storage/processed_audios/عائشة_precisely_edited.wav
قيس,https://senseiprod.github.io/audio-storage/processed_audios/قيس_original.wav
مهند,https://senseiprod.github.io/audio-storage/processed_audios/مهند_precisely_edited.wav
نواف,https://senseiprod.github.io/audio-storage/processed_audios/نواف_original.wav
يمنى,https://senseiprod.github.io/audio-storage/processed_audios/يمنى_precisely_edited.wav
جواد,https://senseiprod.github.io/audio-storage/processed_audios/جواد_original.wav
إسلام,https://senseiprod.github.io/audio-storage/processed_audios/إسلام_original.wav
عارف,https://senseiprod.github.io/audio-storage/processed_audios/عارف_precisely_edited.wav
أماني,https://senseiprod.github.io/audio-storage/processed_audios/أماني_original.wav
أكرم,https://senseiprod.github.io/audio-storage/processed_audios/أكرم_precisely_edited.wav
آمنة,https://senseiprod.github.io/audio-storage/processed_audios/آمنة_original.wav
أمين,https://senseiprod.github.io/audio-storage/processed_audios/أمين_precisely_edited.wav
كمال,https://senseiprod.github.io/audio-storage/processed_audios/كمال_original.wav
فهد,https://senseiprod.github.io/audio-storage/processed_audios/فهد_precisely_edited.wav
بديعة,https://senseiprod.github.io/audio-storage/processed_audios/بديعة_original.wav
بهاء,https://senseiprod.github.io/audio-storage/processed_audios/بهاء_precisely_edited.wav
لطفي,https://senseiprod.github.io/audio-storage/processed_audios/لطفي_original.wav
بيسان,https://senseiprod.github.io/audio-storage/processed_audios/بيسان_original.wav
بتول,https://senseiprod.github.io/audio-storage/processed_audios/بتول_original.wav
ماجد,https://senseiprod.github.io/audio-storage/processed_audios/ماجد_precisely_edited.wav
فؤاد,https://senseiprod.github.io/audio-storage/processed_audios/فؤاد_original.wav
علي,https://senseiprod.github.io/audio-storage/processed_audios/علي_precisely_edited.wav
ألفة,https://senseiprod.github.io/audio-storage/processed_audios/ألفة_original.wav
أسمى,https://senseiprod.github.io/audio-storage/processed_audios/أسمى_original.wav
مصطفى,https://senseiprod.github.io/audio-storage/processed_audios/مصطفى_original.wav
باسم,https://senseiprod.github.io/audio-storage/processed_audios/باسم_precisely_edited.wav
منصور,https://senseiprod.github.io/audio-storage/processed_audios/منصور_original.wav
كرم,https://senseiprod.github.io/audio-storage/processed_audios/كرم_precisely_edited.wav
محمد,https://senseiprod.github.io/audio-storage/processed_audios/محمد_original.wav
زاهر,https://senseiprod.github.io/audio-storage/processed_audios/زاهر_original.wav
أسماء,https://senseiprod.github.io/audio-storage/processed_audios/أسماء_precisely_edited.wav
أجوان,https://senseiprod.github.io/audio-storage/processed_audios/أجوان_original.wav
زكية,https://senseiprod.github.io/audio-storage/processed_audios/زكية_precisely_edited.wav
أحمد,https://senseiprod.github.io/audio-storage/processed_audios/أحمد_original.wav
معتز,https://senseiprod.github.io/audio-storage/processed_audios/معتز_original.wav
عمار,https://senseiprod.github.io/audio-storage/processed_audios/عمار_original.wav
هاجر,https://senseiprod.github.io/audio-storage/processed_audios/هاجر_original.wav
هند,https://senseiprod.github.io/audio-storage/processed_audios/هند_original.wav
إيمار,https://senseiprod.github.io/audio-storage/processed_audios/إيمار_original.wav
إلهام,https://senseiprod.github.io/audio-storage/processed_audios/إلهام_original.wav
يسرى,https://senseiprod.github.io/audio-storage/processed_audios/يسرى_original.wav
لُجين,https://senseiprod.github.io/audio-storage/processed_audios/لُجين_original.wav
لميس,https://senseiprod.github.io/audio-storage/processed_audios/لميس_original.wav
همس,https://senseiprod.github.io/audio-storage/processed_audios/همس_original.wav
